# Misclassified BGL Logs
# Total: 316 / 401
# Format: TRUE_LABEL PRED_LABEL CONFIDENCE | LOG_LINE
#================================================================================

TRUE:0 PRED:1 CONF:0.010 | 1120889703 2005.07.08 R05-M0-N2 2005-07-08-23.15.03.798449 R05-M0-N2 NULL DISCOVERY WARNING Node card is not fully functional
TRUE:0 PRED:1 CONF:0.018 | 1118772188 2005.06.14 R20-M0-N3-C:J06-U11 2005-06-14-11.03.08.491655 R20-M0-N3-C:J06-U11 RAS KERNEL FATAL wait state enable.................0
TRUE:0 PRED:1 CONF:0.018 | 1122430512 2005.07.26 R23-M1-N7-C:J10-U01 2005-07-26-19.15.12.085226 R23-M1-N7-C:J10-U01 RAS KERNEL INFO generating core.42905
TRUE:0 PRED:1 CONF:0.018 | 1134109138 2005.12.08 R20-M1-N0-I:J18-U11 2005-12-08-22.18.58.098120 R20-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /g/g90/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDbglV: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 CONF:0.018 | 1120259888 2005.07.01 R25-M0-N7-C:J11-U01 2005-07-01-16.18.08.272925 R25-M0-N7-C:J11-U01 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.018 | 1131142353 2005.11.04 R62-M0-NC-C:J16-U01 2005-11-04-14.12.33.760945 R62-M0-NC-C:J16-U01 RAS KERNEL INFO iar 001066ac dear 0252523c
TRUE:0 PRED:1 CONF:0.018 | 1131058399 2005.11.03 R64-M1-N7-C:J16-U11 2005-11-03-14.53.19.794119 R64-M1-N7-C:J16-U11 RAS KERNEL INFO iar 00105ea0 dear 0244c28c
TRUE:0 PRED:1 CONF:0.018 | 1131129716 2005.11.04 R62-M0-NC-C:J15-U11 2005-11-04-10.41.56.879911 R62-M0-NC-C:J15-U11 RAS KERNEL INFO iar 0010650c dear 0246a95c
TRUE:0 PRED:1 CONF:0.018 | 1121172239 2005.07.12 R26-M1-N1-C:J16-U01 2005-07-12-05.43.59.502921 R26-M1-N1-C:J16-U01 RAS KERNEL INFO generating core.3400
TRUE:0 PRED:1 CONF:0.018 | 1120093988 2005.06.29 R36-M1-N1-C:J05-U01 2005-06-29-18.13.08.381268 R36-M1-N1-C:J05-U01 RAS KERNEL INFO 344040 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.018 | 1120970941 2005.07.09 R00-M1-N7-C:J11-U01 2005-07-09-21.49.01.198976 R00-M1-N7-C:J11-U01 RAS KERNEL INFO generating core.3249
TRUE:0 PRED:1 CONF:0.018 | 1120487288 2005.07.04 R36-M1-NB-C:J05-U01 2005-07-04-07.28.08.559194 R36-M1-NB-C:J05-U01 RAS KERNEL INFO generating core.14627
TRUE:0 PRED:1 CONF:0.018 | 1131060806 2005.11.03 R67-M0-N0-C:J03-U01 2005-11-03-15.33.26.605133 R67-M0-N0-C:J03-U01 RAS KERNEL INFO iar 00106580 dear 02494c2c
TRUE:0 PRED:1 CONF:0.018 | 1119625799 2005.06.24 R03-M0-NB-C:J10-U11 2005-06-24-08.09.59.585592 R03-M0-NB-C:J10-U11 RAS KERNEL INFO CE sym 12, at 0x1b786f60, mask 0x04
TRUE:0 PRED:1 CONF:0.018 | 1123966497 2005.08.13 R61-M1-NC-I:J18-U01 2005-08-13-13.54.57.564471 R61-M1-NC-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(pwd) failed: No such file or directory
TRUE:0 PRED:1 CONF:0.018 | 1120449800 2005.07.03 R21-M1-ND-C:J14-U01 2005-07-03-21.03.20.655726 R21-M1-ND-C:J14-U01 RAS KERNEL INFO generating core.22024
TRUE:0 PRED:1 CONF:0.018 | 1117990980 2005.06.05 R34-M0-ND-C:J03-U01 2005-06-05-10.03.00.195528 R34-M0-ND-C:J03-U01 RAS KERNEL INFO generating core.851
TRUE:0 PRED:1 CONF:0.018 | 1121442124 2005.07.15 R04-M0-NE-C:J17-U01 2005-07-15-08.42.04.042901 R04-M0-NE-C:J17-U01 RAS KERNEL INFO generating core.84
TRUE:0 PRED:1 CONF:0.018 | 1117977497 2005.06.05 R33-M1-NB-C:J06-U01 2005-06-05-06.18.17.802159 R33-M1-NB-C:J06-U01 RAS KERNEL INFO generating core.5570
TRUE:0 PRED:1 CONF:0.018 | 1130251536 2005.10.25 R46-M0-NC-I:J18-U11 2005-10-25-07.45.36.124897 R46-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading allreduce_int_V1R1.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 CONF:0.018 | 1131140000 2005.11.04 R63-M0-ND-C:J15-U01 2005-11-04-13.33.20.655126 R63-M0-ND-C:J15-U01 RAS KERNEL INFO iar 001066c4 dear 0252528c
TRUE:0 PRED:1 CONF:0.018 | 1120935483 2005.07.09 R10-M0-N8-C:J06-U01 2005-07-09-11.58.03.523153 R10-M0-N8-C:J06-U01 RAS KERNEL INFO generating core.31758
TRUE:0 PRED:1 CONF:0.018 | 1131058170 2005.11.03 R64-M1-N9-C:J15-U11 2005-11-03-14.49.30.411659 R64-M1-N9-C:J15-U11 RAS KERNEL INFO iar 001061dc dear 0244c22c
TRUE:0 PRED:1 CONF:0.018 | 1120956526 2005.07.09 R37-M1-N7-C:J17-U01 2005-07-09-17.48.46.717674 R37-M1-N7-C:J17-U01 RAS KERNEL INFO generating core.8544
TRUE:0 PRED:1 CONF:0.018 | 1131477544 2005.11.08 R62-M0-N4-C:J14-U11 2005-11-08-11.19.04.849931 R62-M0-N4-C:J14-U11 RAS KERNEL INFO iar 001061b4 dear 0247017c
TRUE:0 PRED:1 CONF:0.018 | 1120935001 2005.07.09 R06-M1-NE-C:J04-U01 2005-07-09-11.50.01.726751 R06-M1-NE-C:J04-U01 RAS KERNEL INFO generating core.57863
TRUE:0 PRED:1 CONF:0.018 | 1131126747 2005.11.04 R62-M0-NC-C:J04-U01 2005-11-04-09.52.27.280593 R62-M0-NC-C:J04-U01 RAS KERNEL INFO iar 0010686c dear 02f6951c
TRUE:0 PRED:1 CONF:0.018 | 1121313580 2005.07.13 R26-M0-NB-C:J04-U01 2005-07-13-20.59.40.239374 R26-M0-NB-C:J04-U01 RAS KERNEL INFO generating core.14603
TRUE:0 PRED:1 CONF:0.018 | 1120091766 2005.06.29 R32-M1-ND-C:J04-U01 2005-06-29-17.36.06.730195 R32-M1-ND-C:J04-U01 RAS KERNEL INFO generating core.10125
TRUE:0 PRED:1 CONF:0.019 | 1120217064 2005.07.01 R15-M1-NF-C:J16-U11 2005-07-01-04.24.24.044042 R15-M1-NF-C:J16-U11 RAS KERNEL INFO generating core.10312
TRUE:0 PRED:1 CONF:0.019 | 1120447592 2005.07.03 R34-M1-N0-C:J12-U01 2005-07-03-20.26.32.492671 R34-M1-N0-C:J12-U01 RAS KERNEL INFO generating core.15557
TRUE:0 PRED:1 CONF:0.019 | 1117985464 2005.06.05 R32-M0-NF-C:J10-U01 2005-06-05-08.31.04.464776 R32-M0-NF-C:J10-U01 RAS KERNEL INFO generating core.449
TRUE:0 PRED:1 CONF:0.019 | 1120351629 2005.07.02 R04-M0-N9-C:J17-U01 2005-07-02-17.47.09.816142 R04-M0-N9-C:J17-U01 RAS KERNEL INFO generating core.848
TRUE:0 PRED:1 CONF:0.019 | 1120217049 2005.07.01 R15-M1-N9-C:J07-U11 2005-07-01-04.24.09.678810 R15-M1-N9-C:J07-U11 RAS KERNEL INFO generating core.12122
TRUE:0 PRED:1 CONF:0.019 | 1119377680 2005.06.21 R20-M1-N2-C:J17-U01 2005-06-21-11.14.40.347916 R20-M1-N2-C:J17-U01 RAS KERNEL INFO generating core.4660
TRUE:0 PRED:1 CONF:0.019 | 1133306326 2005.11.29 R21-M0-N8-I:J18-U01 2005-11-29-15.18.46.642475 R21-M0-N8-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f2
TRUE:0 PRED:1 CONF:0.019 | 1131058388 2005.11.03 R66-M0-N5-C:J04-U11 2005-11-03-14.53.08.510509 R66-M0-N5-C:J04-U11 RAS KERNEL INFO iar 001061dc dear 0244c22c
TRUE:0 PRED:1 CONF:0.019 | 1119055358 2005.06.17 R12-M1-NB-C:J15-U01 2005-06-17-17.42.38.875141 R12-M1-NB-C:J15-U01 RAS KERNEL INFO generating core.1488
TRUE:0 PRED:1 CONF:0.019 | 1131128169 2005.11.04 R62-M0-N7-C:J06-U01 2005-11-04-10.16.09.870195 R62-M0-N7-C:J06-U01 RAS KERNEL INFO iar 001061ec dear 02f6668c
TRUE:0 PRED:1 CONF:0.019 | 1120969099 2005.07.09 R35-M0-ND-C:J14-U01 2005-07-09-21.18.19.960414 R35-M0-ND-C:J14-U01 RAS KERNEL INFO generating core.5760
TRUE:0 PRED:1 CONF:0.019 | 1131059607 2005.11.03 R67-M0-N5-C:J04-U11 2005-11-03-15.13.27.784212 R67-M0-N5-C:J04-U11 RAS KERNEL INFO iar 001061dc dear 0244c28c
TRUE:0 PRED:1 CONF:0.019 | 1122574115 2005.07.28 R31-M0-NB-C:J12-U11 2005-07-28-11.08.35.403371 R31-M0-NB-C:J12-U11 RAS KERNEL INFO generating core.6161
TRUE:0 PRED:1 CONF:0.019 | 1120145611 2005.06.30 R16-M0-NE-C:J14-U11 2005-06-30-08.33.31.578264 R16-M0-NE-C:J14-U11 RAS KERNEL INFO generating core.26156
TRUE:0 PRED:1 CONF:0.019 | 1121313953 2005.07.13 R34-M1-N7-C:J03-U11 2005-07-13-21.05.53.702684 R34-M1-N7-C:J03-U11 RAS KERNEL INFO generating core.13043
TRUE:0 PRED:1 CONF:0.019 | 1119726375 2005.06.25 R14-M1-N6-C:J06-U01 2005-06-25-12.06.15.851937 R14-M1-N6-C:J06-U01 RAS KERNEL INFO generating core.718
TRUE:0 PRED:1 CONF:0.019 | 1117989594 2005.06.05 R35-M0-N5-C:J17-U11 2005-06-05-09.39.54.210760 R35-M0-N5-C:J17-U11 RAS KERNEL INFO generating core.2680
TRUE:0 PRED:1 CONF:0.019 | 1121256538 2005.07.13 R31-M0-N1-C:J09-U01 2005-07-13-05.08.58.429347 R31-M0-N1-C:J09-U01 RAS KERNEL INFO generating core.47314
TRUE:0 PRED:1 CONF:0.019 | 1117984246 2005.06.05 R30-M1-N3-C:J02-U01 2005-06-05-08.10.46.344235 R30-M1-N3-C:J02-U01 RAS KERNEL FATAL force load/store alignment...............0
TRUE:0 PRED:1 CONF:0.019 | 1120923521 2005.07.09 R20-M0-N6-C:J16-U01 2005-07-09-08.38.41.325656 R20-M0-N6-C:J16-U01 RAS KERNEL INFO generating core.12364
TRUE:0 PRED:1 CONF:0.019 | 1122144072 2005.07.23 R33-M0-NB-C:J10-U01 2005-07-23-11.41.12.568550 R33-M0-NB-C:J10-U01 RAS KERNEL INFO generating core.23425
TRUE:0 PRED:1 CONF:0.019 | 1131059308 2005.11.03 R66-M1-N5-C:J14-U11 2005-11-03-15.08.28.067991 R66-M1-N5-C:J14-U11 RAS KERNEL INFO iar 00106210 dear 0244c1dc
TRUE:0 PRED:1 CONF:0.019 | 1119715453 2005.06.25 R21-M1-N7-C:J10-U01 2005-06-25-09.04.13.083368 R21-M1-N7-C:J10-U01 RAS KERNEL INFO generating core.9369
TRUE:0 PRED:1 CONF:0.019 | 1120266974 2005.07.01 R32-M0-NF-C:J17-U11 2005-07-01-18.16.14.553770 R32-M0-NF-C:J17-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.019 | 1133448160 2005.12.01 R37-M1-N0-C:J16-U11 2005-12-01-06.42.40.072946 R37-M1-N0-C:J16-U11 RAS KERNEL INFO 10752 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.
TRUE:0 PRED:1 CONF:0.019 | 1131060537 2005.11.03 R67-M0-N4-C:J10-U01 2005-11-03-15.28.57.931792 R67-M0-N4-C:J10-U01 RAS KERNEL INFO iar 00106534 dear 02494c3c
TRUE:0 PRED:1 CONF:0.019 | 1120259710 2005.07.01 R33-M1-N2-C:J17-U11 2005-07-01-16.15.10.056728 R33-M1-N2-C:J17-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.019 | 1119806904 2005.06.26 R05-M0-N3-C:J11-U11 2005-06-26-10.28.24.350248 R05-M0-N3-C:J11-U11 RAS KERNEL INFO generating core.14700
TRUE:0 PRED:1 CONF:0.019 | 1120786879 2005.07.07 R12-M1-NE-C:J04-U11 2005-07-07-18.41.19.670878 R12-M1-NE-C:J04-U11 RAS KERNEL INFO generating core.815
TRUE:0 PRED:1 CONF:0.019 | 1120091562 2005.06.29 R37-M0-NA-C:J15-U01 2005-06-29-17.32.42.585032 R37-M0-NA-C:J15-U01 RAS KERNEL INFO generating core.26918
TRUE:0 PRED:1 CONF:0.019 | 1118916076 2005.06.16 R23-M1-N4-C:J10-U11 2005-06-16-03.01.16.485975 R23-M1-N4-C:J10-U11 RAS KERNEL INFO generating core.3053
TRUE:0 PRED:1 CONF:0.019 | 1131057913 2005.11.03 R65-M1-NB-C:J14-U01 2005-11-03-14.45.13.427392 R65-M1-NB-C:J14-U01 RAS KERNEL INFO iar 00106228 dear 0244c1ec
TRUE:0 PRED:1 CONF:0.019 | 1120748233 2005.07.07 R07-M1-N7-C:J10-U11 2005-07-07-07.57.13.121223 R07-M1-N7-C:J10-U11 RAS KERNEL INFO generating core.1129
TRUE:0 PRED:1 CONF:0.020 | 1122431204 2005.07.26 R10-M1-NB-C:J16-U11 2005-07-26-19.26.44.167957 R10-M1-NB-C:J16-U11 RAS KERNEL INFO generating core.36904
TRUE:0 PRED:1 CONF:0.020 | 1120145615 2005.06.30 R00-M0-ND-C:J17-U01 2005-06-30-08.33.35.910212 R00-M0-ND-C:J17-U01 RAS KERNEL INFO generating core.2112
TRUE:0 PRED:1 CONF:0.020 | 1133051996 2005.11.26 R03-M1-NF-C:J07-U01 2005-11-26-16.39.56.330868 R03-M1-NF-C:J07-U01 RAS KERNEL FATAL r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000
TRUE:0 PRED:1 CONF:0.020 | 1120217169 2005.07.01 R14-M0-N2-C:J15-U11 2005-07-01-04.26.09.649848 R14-M0-N2-C:J15-U11 RAS KERNEL INFO generating core.15740
TRUE:0 PRED:1 CONF:0.020 | 1119377678 2005.06.21 R20-M0-N9-C:J11-U11 2005-06-21-11.14.38.018978 R20-M0-N9-C:J11-U11 RAS KERNEL INFO generating core.8089
TRUE:0 PRED:1 CONF:0.020 | 1120935398 2005.07.09 R25-M1-N8-C:J16-U11 2005-07-09-11.56.38.939515 R25-M1-N8-C:J16-U11 RAS KERNEL INFO generating core.14652
TRUE:0 PRED:1 CONF:0.020 | 1120957410 2005.07.09 R01-M1-NA-C:J12-U11 2005-07-09-18.03.30.488263 R01-M1-NA-C:J12-U11 RAS KERNEL INFO generating core.2573
TRUE:0 PRED:1 CONF:0.020 | 1135651811 2005.12.26 R37-M1-NC-C:J02-U11 2005-12-26-18.50.11.312622 R37-M1-NC-C:J02-U11 RAS KERNEL INFO instruction cache parity error corrected
TRUE:0 PRED:1 CONF:0.020 | 1120938346 2005.07.09 R15-M1-NB-C:J15-U01 2005-07-09-12.45.46.326910 R15-M1-NB-C:J15-U01 RAS KERNEL INFO generating core.46408
TRUE:0 PRED:1 CONF:0.020 | 1121006825 2005.07.10 R37-M0-N2-C:J05-U11 2005-07-10-07.47.05.910036 R37-M0-N2-C:J05-U11 RAS KERNEL INFO generating core.6519
TRUE:0 PRED:1 CONF:0.020 | 1119715567 2005.06.25 R23-M1-N6-C:J14-U01 2005-06-25-09.06.07.234215 R23-M1-N6-C:J14-U01 RAS KERNEL INFO generating core.10140
TRUE:0 PRED:1 CONF:0.020 | 1118149570 2005.06.07 R24-M0-NA-C:J15-U11 2005-06-07-06.06.10.391269 R24-M0-NA-C:J15-U11 RAS KERNEL INFO generating core.3804
TRUE:0 PRED:1 CONF:0.020 | 1118112604 2005.06.06 R22-M0-N4-C:J08-U11 2005-06-06-19.50.04.552706 R22-M0-N4-C:J08-U11 RAS KERNEL INFO generating core.174
TRUE:0 PRED:1 CONF:0.020 | 1131126144 2005.11.04 R62-M0-NB-C:J16-U11 2005-11-04-09.42.24.810298 R62-M0-NB-C:J16-U11 RAS KERNEL INFO iar 00106bd8 dear 0245cd9c
TRUE:0 PRED:1 CONF:0.020 | 1118114656 2005.06.06 R24-M1-N9-C:J15-U01 2005-06-06-20.24.16.345770 R24-M1-N9-C:J15-U01 RAS KERNEL INFO generating core.976
TRUE:0 PRED:1 CONF:0.020 | 1120935446 2005.07.09 R35-M0-N0-C:J05-U01 2005-07-09-11.57.26.222399 R35-M0-N0-C:J05-U01 RAS KERNEL INFO generating core.14807
TRUE:0 PRED:1 CONF:0.020 | 1120940357 2005.07.09 R32-M0-N1-C:J03-U01 2005-07-09-13.19.17.680850 R32-M0-N1-C:J03-U01 RAS KERNEL INFO generating core.8147
TRUE:0 PRED:1 CONF:0.020 | 1123110860 2005.08.03 NULL 2005-08-03-16.14.20.667595 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 CONF:0.020 | 1119802848 2005.06.26 R36-M1-NC-C:J06-U11 2005-06-26-09.20.48.858436 R36-M1-NC-C:J06-U11 RAS KERNEL INFO generating core.28370
TRUE:0 PRED:1 CONF:0.020 | 1121311526 2005.07.13 R32-M0-N8-C:J09-U11 2005-07-13-20.25.26.300247 R32-M0-N8-C:J09-U11 RAS KERNEL INFO generating core.3510
TRUE:0 PRED:1 CONF:0.020 | 1120262099 2005.07.01 R24-M1-NB-C:J14-U11 2005-07-01-16.54.59.334330 R24-M1-NB-C:J14-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.020 | 1118149569 2005.06.07 R21-M0-NB-C:J06-U01 2005-06-07-06.06.09.288228 R21-M0-NB-C:J06-U01 RAS KERNEL INFO generating core.2690
TRUE:0 PRED:1 CONF:0.020 | 1120935388 2005.07.09 R20-M1-N4-C:J17-U11 2005-07-09-11.56.28.685591 R20-M1-N4-C:J17-U11 RAS KERNEL INFO generating core.2300
TRUE:0 PRED:1 CONF:0.020 | 1118172147 2005.06.07 R35-M0-NC-C:J03-U11 2005-06-07-12.22.27.613809 R35-M0-NC-C:J03-U11 RAS KERNEL INFO generating core.2911
TRUE:0 PRED:1 CONF:0.020 | 1132076597 2005.11.15 R23-M0-N7 2005-11-15-09.43.17.181620 R23-M0-N7 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J04 do not match. VPD ecid 04D58088CB2FFFFF08031C104CE9, found 04CA80D8012FFFFF08061A8094CB
TRUE:0 PRED:1 CONF:0.020 | 1120149021 2005.06.30 R23-M1-ND-C:J16-U01 2005-06-30-09.30.21.891142 R23-M1-ND-C:J16-U01 RAS KERNEL INFO generating core.5512
TRUE:0 PRED:1 CONF:0.020 | 1118843857 2005.06.15 R25-M1-N1-C:J15-U11 2005-06-15-06.57.37.567187 R25-M1-N1-C:J15-U11 RAS KERNEL INFO generating core.2040
TRUE:0 PRED:1 CONF:0.020 | 1119291000 2005.06.20 R17-M1-ND-C:J12-U11 2005-06-20-11.10.00.255483 R17-M1-ND-C:J12-U11 RAS KERNEL INFO generating core.5401
TRUE:0 PRED:1 CONF:0.020 | 1134601394 2005.12.14 R42-M1-N2-C:J03-U11 2005-12-14-15.03.14.212440 R42-M1-N2-C:J03-U11 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type
TRUE:0 PRED:1 CONF:0.020 | 1121494308 2005.07.15 R21-M0-N7-C:J14-U01 2005-07-15-23.11.48.831797 R21-M0-N7-C:J14-U01 RAS KERNEL INFO generating core.17560
TRUE:0 PRED:1 CONF:0.020 | 1121006621 2005.07.10 R36-M0-N9-C:J11-U01 2005-07-10-07.43.41.076829 R36-M0-N9-C:J11-U01 RAS KERNEL INFO generating core.20257
TRUE:0 PRED:1 CONF:0.021 | 1119715922 2005.06.25 R16-M1-NA-C:J02-U01 2005-06-25-09.12.02.795224 R16-M1-NA-C:J02-U01 RAS KERNEL INFO generating core.38415
TRUE:0 PRED:1 CONF:0.021 | 1120216591 2005.07.01 R33-M1-N8-C:J17-U11 2005-07-01-04.16.31.056361 R33-M1-N8-C:J17-U11 RAS KERNEL INFO generating core.28084
TRUE:0 PRED:1 CONF:0.021 | 1120931195 2005.07.09 R20-M0-NE-C:J05-U01 2005-07-09-10.46.35.976265 R20-M0-NE-C:J05-U01 RAS KERNEL INFO generating core.24671
TRUE:0 PRED:1 CONF:0.021 | 1123110844 2005.08.03 NULL 2005-08-03-16.14.04.704650 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 CONF:0.021 | 1120969467 2005.07.09 R31-M0-NA-C:J03-U11 2005-07-09-21.24.27.695037 R31-M0-NA-C:J03-U11 RAS KERNEL INFO generating core.6711
TRUE:0 PRED:1 CONF:0.021 | 1127265666 2005.09.20 R54-M1-N4-I:J18-U11 2005-09-20-18.21.06.263282 R54-M1-N4-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.01) failed: No such file or directory
TRUE:0 PRED:1 CONF:0.021 | 1118149549 2005.06.07 R20-M0-N2-C:J09-U01 2005-06-07-06.05.49.961844 R20-M0-N2-C:J09-U01 RAS KERNEL INFO generating core.3638
TRUE:0 PRED:1 CONF:0.021 | 1119715413 2005.06.25 R25-M0-N6-C:J08-U11 2005-06-25-09.03.33.373728 R25-M0-N6-C:J08-U11 RAS KERNEL INFO generating core.16830
TRUE:0 PRED:1 CONF:0.021 | 1120969432 2005.07.09 R27-M0-N3-C:J04-U01 2005-07-09-21.23.52.155670 R27-M0-N3-C:J04-U01 RAS KERNEL INFO generating core.26955
TRUE:0 PRED:1 CONF:0.021 | 1123110898 2005.08.03 NULL 2005-08-03-16.14.58.668464 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 CONF:0.021 | 1120974004 2005.07.09 R01-M1-N9-C:J03-U11 2005-07-09-22.40.04.247442 R01-M1-N9-C:J03-U11 RAS KERNEL INFO generating core.2971
TRUE:0 PRED:1 CONF:0.021 | 1118853076 2005.06.15 R34-M1-N9-C:J07-U11 2005-06-15-09.31.16.623218 R34-M1-N9-C:J07-U11 RAS KERNEL INFO generating core.16218
TRUE:0 PRED:1 CONF:0.021 | 1119715346 2005.06.25 R30-M1-NA-C:J14-U11 2005-06-25-09.02.26.738118 R30-M1-NA-C:J14-U11 RAS KERNEL INFO generating core.62516
TRUE:0 PRED:1 CONF:0.021 | 1132870645 2005.11.24 R77-M0-N4-I:J18-U01 2005-11-24-14.17.25.200932 R77-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x00001a12
TRUE:0 PRED:1 CONF:0.021 | 1131148435 2005.11.04 R63-M0-N7-C:J09-U01 2005-11-04-15.53.55.739224 R63-M0-N7-C:J09-U01 RAS KERNEL INFO 428412 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.021 | 1131058115 2005.11.03 R66-M0-NF-C:J12-U01 2005-11-03-14.48.35.040947 R66-M0-NF-C:J12-U01 RAS KERNEL INFO 640404 floating point alignment exceptions
TRUE:0 PRED:1 CONF:0.021 | 1120924519 2005.07.09 R20-M0-NA-C:J12-U01 2005-07-09-08.55.19.014398 R20-M0-NA-C:J12-U01 RAS KERNEL INFO generating core.14349
TRUE:0 PRED:1 CONF:0.021 | 1127265535 2005.09.20 R23-M1-N8-I:J18-U11 2005-09-20-18.18.55.570301 R23-M1-N8-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/bgl/apps/SWL/performance/MINIBEN///2005.09.20-18.06.05) failed: No such file or directory
TRUE:0 PRED:1 CONF:0.021 | 1122143827 2005.07.23 R33-M1-N5-C:J13-U11 2005-07-23-11.37.07.526139 R33-M1-N5-C:J13-U11 RAS KERNEL INFO generating core.9713
TRUE:0 PRED:1 CONF:0.021 | 1120924566 2005.07.09 R35-M1-N7-C:J10-U01 2005-07-09-08.56.06.557539 R35-M1-N7-C:J10-U01 RAS KERNEL INFO generating core.8897
TRUE:0 PRED:1 CONF:0.021 | 1120449840 2005.07.03 R27-M1-N3-C:J13-U11 2005-07-03-21.04.00.795038 R27-M1-N3-C:J13-U11 RAS KERNEL INFO generating core.22905
TRUE:0 PRED:1 CONF:0.021 | 1118371043 2005.06.09 R11-M0-N7-C:J16-U11 2005-06-09-19.37.23.866536 R11-M0-N7-C:J16-U11 RAS KERNEL INFO generating core.8280
TRUE:0 PRED:1 CONF:0.021 | 1119807588 2005.06.26 R33-M1-N3-C:J16-U11 2005-06-26-10.39.48.944209 R33-M1-N3-C:J16-U11 RAS KERNEL INFO auxiliary processor.........................0
TRUE:0 PRED:1 CONF:0.021 | 1120939508 2005.07.09 R21-M0-N9-C:J17-U01 2005-07-09-13.05.08.134359 R21-M0-N9-C:J17-U01 RAS KERNEL INFO generating core.55384
TRUE:0 PRED:1 CONF:0.021 | 1118172099 2005.06.07 R32-M1-N9-C:J11-U11 2005-06-07-12.21.39.208896 R32-M1-N9-C:J11-U11 RAS KERNEL INFO generating core.8153
TRUE:0 PRED:1 CONF:0.021 | 1118915889 2005.06.16 R24-M1-NE-C:J13-U11 2005-06-16-02.58.09.310238 R24-M1-NE-C:J13-U11 RAS KERNEL INFO generating core.93
TRUE:0 PRED:1 CONF:0.021 | 1123110774 2005.08.03 NULL 2005-08-03-16.12.54.271533 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 CONF:0.022 | 1121707427 2005.07.18 R34-M1-N8-C:J07-U01 2005-07-18-10.23.47.339006 R34-M1-N8-C:J07-U01 RAS KERNEL INFO generating core.16038
TRUE:0 PRED:1 CONF:0.022 | 1121311928 2005.07.13 R21-M0-N2-C:J05-U01 2005-07-13-20.32.08.455087 R21-M0-N2-C:J05-U01 RAS KERNEL INFO generating core.26735
TRUE:0 PRED:1 CONF:0.022 | 1121252628 2005.07.13 R34-M0-N0-C:J17-U11 2005-07-13-04.03.48.756221 R34-M0-N0-C:J17-U11 RAS KERNEL INFO 115193048 double-hummer alignment exceptions
TRUE:0 PRED:1 CONF:0.022 | 1119291291 2005.06.20 R13-M1-N8-C:J05-U11 2005-06-20-11.14.51.439913 R13-M1-N8-C:J05-U11 RAS KERNEL INFO generating core.7615
TRUE:0 PRED:1 CONF:0.022 | 1121314001 2005.07.13 R21-M0-N5-C:J13-U11 2005-07-13-21.06.41.876909 R21-M0-N5-C:J13-U11 RAS KERNEL INFO generating core.9337
TRUE:0 PRED:1 CONF:0.022 | 1120938093 2005.07.09 R27-M0-N7-C:J10-U01 2005-07-09-12.41.33.279413 R27-M0-N7-C:J10-U01 RAS KERNEL INFO generating core.50841
