TRUE:0 PRED:1 | 1121310909 2005.07.13 R33-M1-ND-C:J05-U11 2005-07-13-20.15.09.106661 R33-M1-ND-C:J05-U11 RAS KERNEL INFO generating core.9651
TRUE:0 PRED:1 | 1132585070 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-06.57.50.899596 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 | 1121312027 2005.07.13 R31-M1-N9-C:J09-U11 2005-07-13-20.33.47.220912 R31-M1-N9-C:J09-U11 RAS KERNEL INFO generating core.27698
TRUE:0 PRED:1 | 1120262099 2005.07.01 R24-M1-NB-C:J14-U11 2005-07-01-16.54.59.334330 R24-M1-NB-C:J14-U11 RAS KERNEL INFO 1146800 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1119803693 2005.06.26 R00-M1-N3-C:J11-U01 2005-06-26-09.34.53.251232 R00-M1-N3-C:J11-U01 RAS KERNEL INFO program interrupt: unimplemented operation..0
TRUE:0 PRED:1 | 1125084423 2005.08.26 R60-M0-N6-C:J09-U11 2005-08-26-12.27.03.476538 R60-M0-N6-C:J09-U11 RAS KERNEL INFO 1524480 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121256361 2005.07.13 R37-M0-NB-C:J05-U01 2005-07-13-05.06.01.792263 R37-M0-NB-C:J05-U01 RAS KERNEL INFO generating core.12883
TRUE:0 PRED:1 | 1121252775 2005.07.13 R21-M0-N2-C:J07-U01 2005-07-13-04.06.15.639557 R21-M0-N2-C:J07-U01 RAS KERNEL INFO 112625368 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1131126215 2005.11.04 R62-M0-N6-C:J09-U11 2005-11-04-09.43.35.668773 R62-M0-N6-C:J09-U11 RAS KERNEL INFO iar 00106bc0 dear 0245cdec
TRUE:0 PRED:1 | 1134599601 2005.12.14 R76-M1-N0-I:J18-U01 2005-12-14-14.33.21.188706 R76-M1-N0-I:J18-U01 RAS APP FATAL ciod: Error loading /g/g0/spelce1/Tuned/SPaSM-base/rundir/SPaSM.baseline: invalid or missing program image, Permission denied
TRUE:0 PRED:1 | 1125223360 2005.08.28 R51-M1-N9-C:J10-U01 2005-08-28-03.02.40.130543 R51-M1-N9-C:J10-U01 RAS KERNEL INFO iar 0014a150 dear 00998588
TRUE:0 PRED:1 | 1127147540 2005.09.19 R77-M0-NC-I:J18-U11 2005-09-19-09.32.20.314194 R77-M0-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(/home/spelce1/UMT2K/umt2k/ckpt_umt2k_src/TEST/NEW_TEST) failed: No such file or directory
TRUE:0 PRED:1 | 1129551731 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.22.11.645917 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct
TRUE:0 PRED:1 | 1121442115 2005.07.15 R04-M0-NB-C:J04-U01 2005-07-15-08.41.55.151875 R04-M0-NB-C:J04-U01 RAS KERNEL INFO generating core.4675
TRUE:0 PRED:1 | 1121902597 2005.07.20 R11-M1-NE-C:J09-U01 2005-07-20-16.36.37.976854 R11-M1-NE-C:J09-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1121006882 2005.07.10 R32-M1-N3-C:J10-U11 2005-07-10-07.48.02.079501 R32-M1-N3-C:J10-U11 RAS KERNEL INFO generating core.15313
TRUE:0 PRED:1 | 1121006926 2005.07.10 R25-M0-NA-C:J13-U11 2005-07-10-07.48.46.695024 R25-M0-NA-C:J13-U11 RAS KERNEL INFO generating core.10429
TRUE:0 PRED:1 | 1121903649 2005.07.20 R34-M0-N1-C:J08-U01 2005-07-20-16.54.09.929292 R34-M0-N1-C:J08-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1118773837 2005.06.14 R24-M0-NF-C:J08-U01 2005-06-14-11.30.37.732517 R24-M0-NF-C:J08-U01 RAS KERNEL FATAL core configuration register: 0x00002000
TRUE:0 PRED:1 | 1124738119 2005.08.22 R16-M0-N4-I:J18-U11 2005-08-22-12.15.19.318427 R16-M0-N4-I:J18-U11 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi
TRUE:0 PRED:1 | 1131036240 2005.11.03 R06-M0-NC-I:J18-U11 2005-11-03-08.44.00.733074 R06-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /home.old/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDGbglV: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1123176466 2005.08.04 R71-M0-NC 2005-08-04-10.27.46.284345 R71-M0-NC NULL DISCOVERY ERROR Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.
TRUE:0 PRED:1 | 1123110843 2005.08.03 NULL 2005-08-03-16.14.03.884634 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1121599608 2005.07.17 R14-M1-N0-C:J09-U11 2005-07-17-04.26.48.055689 R14-M1-N0-C:J09-U11 RAS KERNEL INFO generating core.39406
TRUE:0 PRED:1 | 1121313927 2005.07.13 R06-M1-N8-C:J16-U11 2005-07-13-21.05.27.499424 R06-M1-N8-C:J16-U11 RAS KERNEL INFO generating core.3980
TRUE:0 PRED:1 | 1121252323 2005.07.13 R22-M1-N3-C:J02-U01 2005-07-13-03.58.43.479838 R22-M1-N3-C:J02-U01 RAS KERNEL INFO 113170696 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1127871900 2005.09.27 R01-M0-N8-C:J02-U11 2005-09-27-18.45.00.453947 R01-M0-N8-C:J02-U11 RAS KERNEL INFO CE sym 2, at 0x0fa3d060, mask 0x08
TRUE:0 PRED:1 | 1118768357 2005.06.14 R25-M0-N3-C:J13-U11 2005-06-14-09.59.17.720736 R25-M0-N3-C:J13-U11 RAS KERNEL FATAL machine check: i-fetch......................0
TRUE:0 PRED:1 | 1121900682 2005.07.20 R30-M1-N9-C:J14-U11 2005-07-20-16.04.42.418104 R30-M1-N9-C:J14-U11 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1122165076 2005.07.23 R13-M0-N0-C:J15-U11 2005-07-23-17.31.16.270211 R13-M0-N0-C:J15-U11 RAS KERNEL INFO 15 floating point alignment exceptions
TRUE:0 PRED:1 | 1119803550 2005.06.26 R35-M0-NB-C:J16-U01 2005-06-26-09.32.30.029388 R35-M0-NB-C:J16-U01 RAS KERNEL INFO data store interrupt caused by icbi.........0
TRUE:0 PRED:1 | 1121311390 2005.07.13 R37-M0-NC-C:J17-U11 2005-07-13-20.23.10.257361 R37-M0-NC-C:J17-U11 RAS KERNEL INFO generating core.5428
TRUE:0 PRED:1 | 1131127560 2005.11.04 R62-M0-N7-C:J05-U11 2005-11-04-10.06.00.288313 R62-M0-N7-C:J05-U11 RAS KERNEL INFO iar 00106390 dear 02f67cfc
TRUE:0 PRED:1 | 1118765676 2005.06.14 R16-M1-N2-C:J07-U01 2005-06-14-09.14.36.498843 R16-M1-N2-C:J07-U01 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 | 1125084553 2005.08.26 R60-M0-NF-C:J10-U11 2005-08-26-12.29.13.250807 R60-M0-NF-C:J10-U11 RAS KERNEL INFO iar 003a9260 dear 00f2a468
TRUE:0 PRED:1 | 1121900469 2005.07.20 R33-M1-N3-C:J02-U01 2005-07-20-16.01.09.861175 R33-M1-N3-C:J02-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1118771934 2005.06.14 R24-M0-ND-C:J02-U11 2005-06-14-10.58.54.996783 R24-M0-ND-C:J02-U11 RAS KERNEL FATAL program interrupt: fp cr field .............0
TRUE:0 PRED:1 | 1125668117 2005.09.02 R72-M1-N4-I:J18-U01 2005-09-02-06.35.17.592760 R72-M1-N4-I:J18-U01 RAS APP FATAL ciod: LOGIN chdir(/bglscratch/bwallen/SWL/SYS-CALLS/testcases/kernel/syscalls/truncate) failed: No such file or directory
TRUE:0 PRED:1 | 1124736611 2005.08.22 R34-M1-N8-I:J18-U01 2005-08-22-11.50.11.486431 R34-M1-N8-I:J18-U01 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi
TRUE:0 PRED:1 | 1121598039 2005.07.17 R21-M1-NA-C:J05-U11 2005-07-17-04.00.39.450366 R21-M1-NA-C:J05-U11 RAS KERNEL INFO generating core.45183
TRUE:0 PRED:1 | 1122139627 2005.07.23 R01-M0-NE-C:J17-U01 2005-07-23-10.27.07.224287 R01-M0-NE-C:J17-U01 RAS KERNEL INFO 15 floating point alignment exceptions
TRUE:0 PRED:1 | 1118710341 2005.06.13 R02-M0-N8-C:J08-U11 2005-06-13-17.52.21.811586 R02-M0-N8-C:J08-U11 RAS KERNEL FATAL instruction address: 0x00004ed8
TRUE:0 PRED:1 | 1125114716 2005.08.26 R74-M1-N0-C:J12-U01 2005-08-26-20.51.56.845739 R74-M1-N0-C:J12-U01 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 28, bit 3
TRUE:0 PRED:1 | 1118771568 2005.06.14 R25-M1-N0-C:J07-U11 2005-06-14-10.52.48.343774 R25-M1-N0-C:J07-U11 RAS KERNEL FATAL program interrupt: imprecise exception......0
TRUE:0 PRED:1 | 1118770646 2005.06.14 R27-M1-N9-C:J11-U11 2005-06-14-10.37.26.925212 R27-M1-N9-C:J11-U11 RAS KERNEL FATAL machine state register: 0x00002000
TRUE:0 PRED:1 | 1124394227 2005.08.18 R71-M1-N8-I:J18-U01 2005-08-18-12.43.47.536288 R71-M1-N8-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm
TRUE:0 PRED:1 | 1118771679 2005.06.14 R21-M1-N5-C:J05-U11 2005-06-14-10.54.39.063056 R21-M1-N5-C:J05-U11 RAS KERNEL FATAL program interrupt: fp cr update.............0
TRUE:0 PRED:1 | 1121598237 2005.07.17 R23-M1-NB-C:J16-U11 2005-07-17-04.03.57.280027 R23-M1-NB-C:J16-U11 RAS KERNEL INFO generating core.45880
TRUE:0 PRED:1 | 1125083411 2005.08.26 R64-M1-N3-C:J07-U11 2005-08-26-12.10.11.586133 R64-M1-N3-C:J07-U11 RAS KERNEL INFO iar 003a929c dear 00efc768
TRUE:0 PRED:1 | 1133150722 2005.11.27 R15-M0-N0-I:J18-U11 2005-11-27-20.05.22.588765 R15-M0-N0-I:J18-U11 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001f5
TRUE:0 PRED:1 | 1121172452 2005.07.12 R22-M1-N0-C:J10-U11 2005-07-12-05.47.32.414558 R22-M1-N0-C:J10-U11 RAS KERNEL INFO generating core.4061
TRUE:0 PRED:1 | 1132586440 2005.11.21 R26-M0-N0-I:J18-U11 2005-11-21-07.20.40.564558 R26-M0-N0-I:J18-U11 RAS KERNEL INFO MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4)
TRUE:0 PRED:1 | 1123915807 2005.08.12 R74-M1-N8-I:J18-U01 2005-08-12-23.50.07.561913 R74-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error
TRUE:0 PRED:1 | 1127243221 2005.09.20 NULL 2005-09-20-12.07.01.621806 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1121172822 2005.07.12 R16-M1-N1-C:J05-U01 2005-07-12-05.53.42.889632 R16-M1-N1-C:J05-U01 RAS KERNEL INFO generating core.1715
TRUE:0 PRED:1 | 1121905368 2005.07.20 R02-M0-NF-C:J13-U01 2005-07-20-17.22.48.249852 R02-M0-NF-C:J13-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1119803856 2005.06.26 R02-M1-N4-C:J12-U01 2005-06-26-09.37.36.335874 R02-M1-N4-C:J12-U01 RAS KERNEL INFO program interrupt: imprecise exception......0
TRUE:0 PRED:1 | 1127592240 2005.09.24 R06-M1-N4-C:J08-U01 2005-09-24-13.04.00.023717 R06-M1-N4-C:J08-U01 RAS KERNEL INFO CE sym 21, at 0x13d38aa0, mask 0x40
TRUE:0 PRED:1 | 1134109138 2005.12.08 R20-M1-N0-I:J18-U11 2005-12-08-22.18.58.098120 R20-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /g/g90/glosli/src/ddcMD/ddcMD1.1.17/bin/ddcMDbglV: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1127244289 2005.09.20 R05-M0-N6 2005-09-20-12.24.49.324668 R05-M0-N6 NULL DISCOVERY INFO Node card VPD check: U11 node in processor card slot J17 do not match. VPD ecid 04D97DB7937BFFFF05071B7054DA, found 04D081A3892FFFFF0D0B1C505AF3
TRUE:0 PRED:1 | 1118770918 2005.06.14 R24-M0-N5-C:J05-U01 2005-06-14-10.41.58.776391 R24-M0-N5-C:J05-U01 RAS KERNEL FATAL data store interrupt caused by icbi.........0
TRUE:0 PRED:1 | 1125084030 2005.08.26 R67-M1-NB-C:J10-U11 2005-08-26-12.20.30.217174 R67-M1-NB-C:J10-U11 RAS KERNEL INFO iar 003a9260 dear 0128f2f8
TRUE:0 PRED:1 | 1121598051 2005.07.17 R27-M1-NA-C:J06-U11 2005-07-17-04.00.51.583517 R27-M1-NA-C:J06-U11 RAS KERNEL INFO generating core.46654
TRUE:0 PRED:1 | 1127243509 2005.09.20 NULL 2005-09-20-12.11.49.638167 NULL RAS MMCS ERROR idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)
TRUE:0 PRED:1 | 1119807482 2005.06.26 R05-M0-N5-C:J09-U11 2005-06-26-10.38.02.680379 R05-M0-N5-C:J09-U11 RAS KERNEL INFO data store interrupt caused by dcbf.........0
TRUE:0 PRED:1 | 1135602839 2005.12.26 R61-M0-N3-C:J11-U11 2005-12-26-05.13.59.265193 R61-M0-N3-C:J11-U11 RAS KERNEL FATAL Machine State Register: 0x0002f900
TRUE:0 PRED:1 | 1121599136 2005.07.17 R07-M1-ND-C:J11-U11 2005-07-17-04.18.56.608263 R07-M1-ND-C:J11-U11 RAS KERNEL INFO generating core.52833
TRUE:0 PRED:1 | 1121252452 2005.07.13 R00-M1-N9-C:J16-U01 2005-07-13-04.00.52.200218 R00-M1-N9-C:J16-U01 RAS KERNEL INFO 113622512 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1129552512 2005.10.17 R02-M0-N4-C:J04-U11 2005-10-17-05.35.12.825443 R02-M0-N4-C:J04-U11 RAS KERNEL INFO data cache search parity error detected. attempting to correct
TRUE:0 PRED:1 | 1121484659 2005.07.15 R33-M0-N6-C:J13-U11 2005-07-15-20.30.59.176883 R33-M0-N6-C:J13-U11 RAS KERNEL INFO 1 ddr errors(s) detected and corrected on rank 0, symbol 33, bit 7
TRUE:0 PRED:1 | 1121256179 2005.07.13 R36-M0-N7-C:J04-U11 2005-07-13-05.02.59.701827 R36-M0-N7-C:J04-U11 RAS KERNEL INFO generating core.691
TRUE:0 PRED:1 | 1123914894 2005.08.12 R15-M0-NC-I:J18-U11 2005-08-12-23.34.54.272486 R15-M0-NC-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error
TRUE:0 PRED:1 | 1129456912 2005.10.16 R24-M0-N4-I:J18-U01 2005-10-16-03.01.52.266920 R24-M0-N4-I:J18-U01 RAS KERNEL INFO ciod: generated 58 core files for program /home/spelce1/HPCC_IBM/Urgent/COP/64K/opt_co_dc.rts
TRUE:0 PRED:1 | 1121598278 2005.07.17 R33-M0-NA-C:J05-U11 2005-07-17-04.04.38.873517 R33-M0-NA-C:J05-U11 RAS KERNEL INFO generating core.45943
TRUE:0 PRED:1 | 1121006677 2005.07.10 R23-M1-NA-C:J14-U11 2005-07-10-07.44.37.462311 R23-M1-NA-C:J14-U11 RAS KERNEL INFO generating core.7068
TRUE:0 PRED:1 | 1121313824 2005.07.13 R22-M0-N3-C:J17-U01 2005-07-13-21.03.44.525664 R22-M0-N3-C:J17-U01 RAS KERNEL INFO generating core.14824
TRUE:0 PRED:1 | 1121707280 2005.07.18 R23-M0-N2-C:J15-U01 2005-07-18-10.21.20.444216 R23-M0-N2-C:J15-U01 RAS KERNEL INFO generating core.11244
TRUE:0 PRED:1 | 1127464994 2005.09.23 R35-M1-NE-C:J09-U01 2005-09-23-01.43.14.910997 R35-M1-NE-C:J09-U01 RAS KERNEL INFO CE sym 26, at 0x022c3fc0, mask 0x40
TRUE:0 PRED:1 | 1133926478 2005.12.06 R27-M0-NB-C:J08-U01 2005-12-06-19.34.38.822749 R27-M0-NB-C:J08-U01 RAS KERNEL INFO Kernel detected 3853444 integer alignment exceptions (3853437) iar 0x00544ea8, dear 0x01ef5e20 (3853438) iar 0x00544eb8, dear 0x01ef5e40 (3853439) iar 0x00544ea8, dear 0x01ef5e60 (3853440) iar 0x00544eb8, dear 0x01ef5e80 (3853441) iar 0x00544ee0, dear 0x01ef5ea0 (3853442) iar 0x00544ef0, dear 0x01ef5ec0 (3853443) iar 0x00544ee0, dear 0x01ef5ee0 (3853444) iar 0x00544ef0, dear 0x01ef5f00
TRUE:0 PRED:1 | 1125797779 2005.09.03 R03-M0-N3-C:J02-U11 2005-09-03-18.36.19.663579 R03-M0-N3-C:J02-U11 RAS KERNEL INFO CE sym 33, at 0x00dbd200, mask 0x80
TRUE:0 PRED:1 | 1121597978 2005.07.17 R33-M1-N9-C:J10-U01 2005-07-17-03.59.38.285272 R33-M1-N9-C:J10-U01 RAS KERNEL INFO generating core.24337
TRUE:0 PRED:1 | 1125084274 2005.08.26 R77-M0-N2-C:J06-U01 2005-08-26-12.24.34.310422 R77-M0-N2-C:J06-U01 RAS KERNEL INFO iar 003a9260 dear 00ef83b8
TRUE:0 PRED:1 | 1121309100 2005.07.13 R00-M1-N2-C:J02-U11 2005-07-13-19.45.00.645776 R00-M1-N2-C:J02-U11 RAS KERNEL INFO generating core.7855
TRUE:0 PRED:1 | 1121256780 2005.07.13 R23-M0-N7-C:J02-U11 2005-07-13-05.13.00.634737 R23-M0-N7-C:J02-U11 RAS KERNEL INFO generating core.18363
TRUE:0 PRED:1 | 1124741126 2005.08.22 R65-M0-NC-I:J18-U11 2005-08-22-13.05.26.526291 R65-M0-NC-I:J18-U11 RAS KERNEL INFO ciod: generated 128 core files for program /home/germann2/BGL-demo/SPaSM_mpi
TRUE:0 PRED:1 | 1121599038 2005.07.17 R01-M1-N6-C:J07-U11 2005-07-17-04.17.18.609719 R01-M1-N6-C:J07-U11 RAS KERNEL INFO generating core.17638
TRUE:0 PRED:1 | 1121904520 2005.07.20 R36-M0-N7-C:J08-U01 2005-07-20-17.08.40.559526 R36-M0-N7-C:J08-U01 RAS KERNEL INFO 8 floating point alignment exceptions
TRUE:0 PRED:1 | 1121314001 2005.07.13 R21-M0-N5-C:J13-U11 2005-07-13-21.06.41.876909 R21-M0-N5-C:J13-U11 RAS KERNEL INFO generating core.9337
TRUE:0 PRED:1 | 1125817576 2005.09.04 R70-M1-NC-C:J09-U11 2005-09-04-00.06.16.089830 R70-M1-NC-C:J09-U11 RAS KERNEL INFO CE sym 26, at 0x146ad540, mask 0x10
TRUE:0 PRED:1 | 1121312448 2005.07.13 R30-M0-N4-C:J09-U11 2005-07-13-20.40.48.847134 R30-M0-N4-C:J09-U11 RAS KERNEL INFO generating core.17526
TRUE:0 PRED:1 | 1131127613 2005.11.04 R62-M0-NE-C:J13-U01 2005-11-04-10.06.53.324365 R62-M0-NE-C:J13-U01 RAS KERNEL INFO iar 00106704 dear 0245b77c
TRUE:0 PRED:1 | 1121252594 2005.07.13 R22-M1-N8-C:J09-U01 2005-07-13-04.03.14.945951 R22-M1-N8-C:J09-U01 RAS KERNEL INFO 113355952 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1118767320 2005.06.14 R25-M1-N9-C:J06-U11 2005-06-14-09.42.00.555171 R25-M1-N9-C:J06-U11 RAS KERNEL FATAL machine check: i-fetch......................0
TRUE:0 PRED:1 | 1132596009 2005.11.21 R16-M0-NC-I:J18-U01 2005-11-21-10.00.09.399765 R16-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: Received signal 15, code=0, errno=0, address=0x000001b2
TRUE:0 PRED:1 | 1127265034 2005.09.20 R26-M1-N8-I:J18-U01 2005-09-20-18.10.34.811726 R26-M1-N8-I:J18-U01 RAS APP FATAL ciod: Error loading /bgl/apps/SWL/performance/MINIBEN//torus-latency.rts: invalid or missing program image, No such file or directory
TRUE:0 PRED:1 | 1133928323 2005.12.06 R31-M0-NF-C:J07-U11 2005-12-06-20.05.23.094186 R31-M0-NF-C:J07-U11 RAS KERNEL INFO Kernel detected 4898338 integer alignment exceptions (4898331) iar 0x00544ea8, dear 0x049e75e0 (4898332) iar 0x00544eb8, dear 0x049e7600 (4898333) iar 0x00544ea8, dear 0x049e7620 (4898334) iar 0x00544eb8, dear 0x049e7640 (4898335) iar 0x00544ee0, dear 0x049e7660 (4898336) iar 0x00544ef0, dear 0x049e7680 (4898337) iar 0x00544ee0, dear 0x049e76a0 (4898338) iar 0x00544ef0, dear 0x049e76c0
TRUE:0 PRED:1 | 1118767015 2005.06.14 R24-M1-N3-C:J16-U01 2005-06-14-09.36.55.370589 R24-M1-N3-C:J16-U01 RAS KERNEL FATAL data address: 0x00000002
TRUE:0 PRED:1 | 1121313856 2005.07.13 R33-M0-N2-C:J15-U11 2005-07-13-21.04.16.708949 R33-M0-N2-C:J15-U11 RAS KERNEL INFO generating core.7156
TRUE:0 PRED:1 | 1125082154 2005.08.26 R62-M1-NA-C:J14-U01 2005-08-26-11.49.14.423511 R62-M1-NA-C:J14-U01 RAS KERNEL INFO iar 003a90fc dear 00b35db8
TRUE:0 PRED:1 | 1121252281 2005.07.13 R33-M1-NE-C:J07-U01 2005-07-13-03.58.01.460537 R33-M1-NE-C:J07-U01 RAS KERNEL INFO 118661512 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121312282 2005.07.13 R32-M1-N5-C:J02-U11 2005-07-13-20.38.02.068017 R32-M1-N5-C:J02-U11 RAS KERNEL INFO generating core.30675
TRUE:0 PRED:1 | 1125379628 2005.08.29 R26-M0-NC-I:J18-U01 2005-08-29-22.27.08.904529 R26-M0-NC-I:J18-U01 RAS KERNEL INFO ciod: generated 64 core files for program IMB-MPI1.2MB_perf
TRUE:0 PRED:1 | 1123966456 2005.08.13 R27-M1-NC-I:J18-U11 2005-08-13-13.54.16.386775 R27-M1-NC-I:J18-U11 RAS APP FATAL ciod: LOGIN chdir(pwd) failed: No such file or directory
TRUE:0 PRED:1 | 1121252594 2005.07.13 R36-M0-N4-C:J04-U01 2005-07-13-04.03.14.251132 R36-M0-N4-C:J04-U01 RAS KERNEL INFO 113982272 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121313946 2005.07.13 R35-M1-N1-C:J12-U11 2005-07-13-21.05.46.397052 R35-M1-N1-C:J12-U11 RAS KERNEL INFO generating core.11473
TRUE:0 PRED:1 | 1125083293 2005.08.26 R60-M1-N1-C:J11-U11 2005-08-26-12.08.13.538298 R60-M1-N1-C:J11-U11 RAS KERNEL INFO iar 003a9260 dear 00efe838
TRUE:0 PRED:1 | 1121311176 2005.07.13 R31-M1-NA-C:J08-U11 2005-07-13-20.19.36.355702 R31-M1-NA-C:J08-U11 RAS KERNEL INFO generating core.26646
TRUE:0 PRED:1 | 1121599282 2005.07.17 R04-M1-NB-C:J13-U11 2005-07-17-04.21.22.640231 R04-M1-NB-C:J13-U11 RAS KERNEL INFO generating core.29025
TRUE:0 PRED:1 | 1118767049 2005.06.14 R25-M1-N3-C:J16-U01 2005-06-14-09.37.29.304192 R25-M1-N3-C:J16-U01 RAS KERNEL FATAL data address: 0x00000002
TRUE:0 PRED:1 | 1123914895 2005.08.12 R16-M1-N0-I:J18-U11 2005-08-12-23.34.55.201666 R16-M1-N0-I:J18-U11 RAS APP FATAL ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error
TRUE:0 PRED:1 | 1121495246 2005.07.15 R36-M1-NF-C:J02-U01 2005-07-15-23.27.26.925798 R36-M1-NF-C:J02-U01 RAS KERNEL INFO generating core.26131
TRUE:0 PRED:1 | 1121252955 2005.07.13 R11-M1-N3-C:J10-U11 2005-07-13-04.09.15.514952 R11-M1-N3-C:J10-U11 RAS KERNEL INFO 116332728 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1118769697 2005.06.14 R26-M0-N0-C:J02-U01 2005-06-14-10.21.37.752462 R26-M0-N0-C:J02-U01 RAS KERNEL FATAL program interrupt: illegal instruction......0
TRUE:0 PRED:1 | 1121256778 2005.07.13 R23-M1-N2-C:J02-U01 2005-07-13-05.12.58.717336 R23-M1-N2-C:J02-U01 RAS KERNEL INFO generating core.47007
TRUE:0 PRED:1 | 1130255740 2005.10.25 R11-M1-N2-C:J09-U11 2005-10-25-08.55.40.146416 R11-M1-N2-C:J09-U11 RAS KERNEL INFO critical input interrupt (unit=0x0b bit=0x0b): warning for torus z- wire
TRUE:0 PRED:1 | 1121172088 2005.07.12 R37-M1-N6-C:J03-U11 2005-07-12-05.41.28.215496 R37-M1-N6-C:J03-U11 RAS KERNEL INFO generating core.9079
TRUE:0 PRED:1 | 1130688037 2005.10.30 R26-M0-N4-I:J18-U11 2005-10-30-08.00.37.655705 R26-M0-N4-I:J18-U11 RAS APP FATAL ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/COP/64K/hpcc-1.0.0.102905_opt_essl_cpm: invalid or missing program image, Permission denied
TRUE:0 PRED:1 | 1125225358 2005.08.28 R54-M0-NC-I:J18-U01 2005-08-28-03.35.58.673640 R54-M0-NC-I:J18-U01 RAS KERNEL INFO NFS Mount failed on bglio716, slept 15 seconds, retrying (1)
TRUE:0 PRED:1 | 1121311157 2005.07.13 R25-M0-NB-C:J03-U11 2005-07-13-20.19.17.435123 R25-M0-NB-C:J03-U11 RAS KERNEL INFO generating core.27323
TRUE:0 PRED:1 | 1121252450 2005.07.13 R11-M1-NE-C:J06-U01 2005-07-13-04.00.50.209028 R11-M1-NE-C:J06-U01 RAS KERNEL INFO 114147592 double-hummer alignment exceptions
TRUE:0 PRED:1 | 1121496335 2005.07.15 R13-M0-NE-C:J14-U11 2005-07-15-23.45.35.927063 R13-M0-NE-C:J14-U11 RAS KERNEL INFO generating core.50988
TRUE:0 PRED:1 | 1131060539 2005.11.03 R67-M0-N0-C:J08-U11 2005-11-03-15.28.59.009148 R67-M0-N0-C:J08-U11 RAS KERNEL INFO iar 00106580 dear 02494bfc
